Component Report
D:/gerber/SENSORKIT-MULTISENSORSHIELD_BOARD_BRD_REV02_2015-09-25.brd
Fri Sep 25 14:34:59 2015
Total Components:  111
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C1,C_2_C0402_0.1UF,0.1uF,,C0402,1090.000,1375.000,270.000,NO
C2,C_2_C0402_0.1UF,0.1uF,,C0402,1395.000,1340.000,180.000,NO
C3,C_2_C0402_0.1UF,0.1uF,,C0402,1395.000,1290.000,0.000,NO
C5,C_2_C0402_0.1UF,0.1uF,,C0402,1524.449,1307.031,90.000,NO
C6,C_2_C0402_0.1UF,0.1uF,,C0402,860.000,520.000,270.000,NO
C7,C_2_C0402_1NF,1nF,,C0402,850.000,745.000,90.000,NO
C8,C_2_C0402_0.47UF,0.47uF,,C0402,1249.449,757.031,0.000,NO
C9,C_2_C0402_0.1UF,0.1uF,,C0402,1675.079,665.220,0.000,NO
C10,C_2_C0402_0.1UF,0.1uF,,C0402,1160.000,950.000,180.000,NO
C11,C_2_C0402_0.1UF,0.1uF,,C0402,1144.449,1042.031,270.000,NO
C12,C_2_C0402_1UF,1uF,,C0402,1245.000,935.000,270.000,NO
C13,C_2_C0402_0.1UF,0.1uF,,C0402,865.079,1070.220,90.000,NO
C14,C_2_C0402_0.1UF,0.1uF,,C0402,1055.079,1045.220,270.000,NO
C17,C_2_C0402_0.1UF,0.1uF,,C0402,1564.449,927.031,90.000,NO
C19,C_2_C0402_2.2NF,2.2nF,,C0402,1450.079,1050.220,180.000,NO
C21,C_2_C0402_0.1UF,0.1uF,,C0402,1450.079,1100.220,180.000,NO
C22,C_2_C0402_10NF,10nF,,C0402,1614.449,927.031,90.000,NO
C23,C_2_C0402_0.1UF,0.1uF,,C0402,1105.000,420.000,180.000,NO
C24,C_2_C0402_0.1UF,0.1uF,,C0402,525.000,1470.000,0.000,NO
C25,C_2_C0402_0.1UF,0.1uF,,C0402,450.000,1460.000,270.000,NO
C26,C_2_C0402_0.1UF,0.1uF,,C0402,575.000,255.000,0.000,NO
C27,C_2_C0402_0.1UF,0.1uF,,C0402,495.000,255.000,0.000,NO
C28,C_2_C0402_0.1UF,0.1uF,,C0402,2605.000,380.000,90.000,NO
C29,C_2_C0402_0.1UF,0.1uF,,C0402,2330.000,340.000,90.000,NO
C30,C_2_C0402_0.1UF,0.1uF,,C0402,2510.000,1465.000,270.000,NO
